,0,1,2
125,2019-06-17,9320.35,9199.30549637591
126,2019-06-18,9081.76,9365.899717033306
127,2019-06-19,9273.52,8773.710483613177
128,2019-06-20,9527.16,9286.859356146033
129,2019-06-21,10144.56,9426.625018846866
130,2019-06-22,10701.69,10192.505986613614
131,2019-06-23,10855.37,10332.993848598533
132,2019-06-24,11011.1,10802.421117325262
133,2019-06-25,11790.92,11267.623493282652
134,2019-06-26,13016.23,11968.552760685721
135,2019-06-27,11182.81,13405.62526935283
136,2019-06-28,12407.33,10910.880868571476
137,2019-06-29,11959.37,12687.25931037726
138,2019-06-30,10817.16,11694.608328615333
139,2019-07-01,10583.13,11369.841115619263
140,2019-07-02,10801.68,10273.259609150966
141,2019-07-03,11961.27,10965.08119116884
142,2019-07-04,11215.44,11866.104132171262
143,2019-07-05,10978.46,10630.050428341641
144,2019-07-06,11208.55,11055.449389822174
145,2019-07-07,11450.85,10683.052452904121
146,2019-07-08,12285.96,11612.507074680656
147,2019-07-09,12573.81,12262.225761865113
148,2019-07-10,12156.51,12619.14546634164
149,2019-07-11,11358.66,12395.268846751205
150,2019-07-12,11815.99,11445.45484575312
151,2019-07-13,11392.38,12660.83417760433
152,2019-07-14,10256.06,11243.254502242278
153,2019-07-15,10895.09,10311.749439280007
154,2019-07-16,9477.64,11020.661902915213
155,2019-07-17,9693.8,9067.114952733267
156,2019-07-18,10666.48,9703.844237069789
157,2019-07-19,10530.73,9712.45456595644
158,2019-07-20,10767.14,10536.001648876289
159,2019-07-21,10599.11,9895.13011316551
160,2019-07-23,9900.77,10448.153005665448
161,2019-07-24,9811.93,10390.530859133989
162,2019-07-25,9911.84,9840.262172052335
163,2019-07-26,9870.3,10382.290490281925
164,2019-07-27,9477.68,10034.39767849123
165,2019-07-28,9552.86,9799.171953354638
166,2019-07-29,9519.15,10267.61345554651
167,2019-07-30,9607.42,9853.108532763436
168,2019-07-31,10085.63,9084.660681324516
169,2019-08-01,10399.67,9381.4683187081
170,2019-08-02,10518.17,10026.61224722114
171,2019-08-03,10821.73,9832.928772826242
172,2019-08-04,10970.18,10239.119190581576
173,2019-08-05,11805.65,11397.561496740953
174,2019-08-06,11478.17,11607.15998722757
175,2019-08-07,11941.97,12212.565714943998
176,2019-08-08,11966.41,12465.610791045587
177,2019-08-09,11862.94,12356.544081647957
178,2019-08-11,11523.58,12411.199961850427
179,2019-08-12,11382.62,11442.117206069426
180,2019-08-13,10895.83,11540.796640765348
181,2019-08-14,10051.7,10373.01608237821
182,2019-08-15,10311.55,9481.900632972902
183,2019-08-16,10374.34,9704.530093592628
184,2019-08-18,10345.81,10096.251693608432
185,2019-08-19,10916.05,9909.620090539061
186,2019-08-20,10763.23,10602.413172471297
187,2019-08-21,10138.05,10748.911063389598
188,2019-08-22,10131.06,10598.778598164434
189,2019-08-23,10407.97,10789.162867695184
190,2019-08-25,10138.52,10712.451765914753
191,2019-08-26,10370.82,10206.921017914548
192,2019-08-27,10185.5,11174.160026726684
193,2019-08-28,9754.42,9805.612378690581
194,2019-08-29,9510.2,9814.36629235807
195,2019-08-30,9598.17,9415.254800336977
196,2019-08-31,9630.66,8903.493049316192
197,2019-09-01,9757.97,8814.647306529165
198,2019-09-02,10346.76,9636.657313268493
199,2019-09-03,10623.54,10434.36701085505
200,2019-09-04,10594.49,10317.449405212948
201,2019-09-05,10575.53,11238.092292524481
202,2019-09-06,10353.3,10650.579044944137
203,2019-09-07,10517.25,10665.675372368707
204,2019-09-08,10441.28,10883.711574234894
205,2019-09-09,10334.97,10760.659334537115
206,2019-09-10,10115.98,10605.728496231673
207,2019-09-11,10178.37,9770.469188449166
208,2019-09-12,10410.13,10377.26679367507
209,2019-09-13,10360.55,10053.406502863836
210,2019-09-14,10358.05,9744.698436083083
211,2019-09-16,10276.79,10159.896267656157
212,2019-09-18,10198.25,10018.785939995694
213,2019-09-19,10266.41,10006.865094214216
214,2019-09-20,10181.64,10189.071632613806
215,2019-09-21,10019.72,10802.416938305727
216,2019-09-22,10070.39,10233.286323121727
217,2019-09-23,9729.32,10315.436582745515
218,2019-09-24,8620.57,10092.98800947337
219,2019-09-25,8486.99,8431.764281624808
220,2019-09-26,8118.97,8477.970608519463
221,2019-09-27,8251.85,8191.121080278416
222,2019-09-28,8245.92,7753.556167071937
223,2019-09-29,8104.19,7690.919438033178
224,2019-09-30,8293.87,7730.664114751784
225,2019-10-01,8343.28,7911.40739757681
226,2019-10-02,8393.04,7910.726155384299
227,2019-10-03,8259.99,8621.913849029668
228,2019-10-04,8205.94,8369.74447071648
229,2019-10-06,7988.16,8366.090614569992
230,2019-10-07,8245.62,8371.556911875334
231,2019-10-08,8228.78,8644.705053485774
232,2019-10-09,8595.74,8348.544640062511
233,2019-10-10,8586.47,8862.425813523962
234,2019-10-11,8321.76,8577.33812421783
235,2019-10-12,8336.56,8038.280624958766
236,2019-10-13,8321.01,7889.909585150131
237,2019-10-15,8205.37,7975.354008693955
238,2019-10-16,8047.53,7659.617702073837
239,2019-10-17,8103.91,7535.901195628384
240,2019-10-18,7973.21,8324.55617724505
241,2019-10-20,8222.08,8368.207178169876
242,2019-10-21,8243.72,8599.036052197353
243,2019-10-22,8078.2,8570.152886086056
244,2019-10-23,7514.67,8334.334121582859
245,2019-10-24,7493.49,7371.487282334557
246,2019-10-25,8660.7,7504.347883476205
247,2019-10-26,9244.97,8843.648638769697
248,2019-10-27,9551.71,8864.99170037057
249,2019-10-29,9427.69,9366.511956447841
250,2019-10-30,9205.73,9435.520337153248
251,2019-11-01,9261.1,9131.756091978237
252,2019-11-02,9324.72,9135.227845690013
253,2019-11-03,9235.35,9259.203963152595
254,2019-11-04,9412.61,9371.064573193009
255,2019-11-05,9342.53,9576.727520767403
256,2019-11-06,9360.88,9902.91631243889
257,2019-11-07,9267.56,9573.30080489823
258,2019-11-08,8804.88,9336.336721387539
259,2019-11-09,8813.58,8518.993859870945
260,2019-11-10,9055.53,8424.659460083942
261,2019-11-11,8757.79,8677.196663181305
262,2019-11-12,8815.66,8250.88044129714
263,2019-11-13,8808.26,8709.075761708598
264,2019-11-14,8708.1,8770.13427045062
265,2019-11-15,8491.99,9039.493517801391
266,2019-11-16,8550.76,8598.611924812722
